inst1,inst2,joinIdInst1,joinIdInst2,joinType,coverage,LEFT_dist_without-join,RIGHT_dist_without-join,JOIN_tot,LEFT_tot,LEFT_distinct,RIGHT_tot,RIGHT_distinct,nbIdOccurMoreThanOnce
part,partsupp,p_partkey,ps_partkey,inner,0.0678,200000,200000,21696,21696,492,21696,492,21696
orders,lineitem,o_orderkey,l_orderkey,inner,0.43567405833676787,1500000,1124774,894773,894773,894773,894773,894773,0
customer,orders,c_custkey,o_custkey,inner,9.83840598570723,150000,100000,2683532,2683532,42489,2683532,42489,2683532
lineitem,part,l_partkey,p_partkey,inner,0.39184932698913394,200000,200000,149954,149954,62683,149954,62683,149954
lineitem,part,l_partkey,p_partkey,inner,0.00041863072676793383,200000,200000,160,160,73,160,73,160
Q3_L,Q3_R,l_orderkey,o_orderkey,inner,0.11781149903621589,798638,144278,60150,60150,11281,60150,11281,60150
Q4_L,Q4_R,l_orderkey,o_orderkey,inner,0.6334373484319696,344576,1082841,894773,894773,894773,894773,894773,0
Q7_L,Q7_R,l_orderkey,o_orderkey,inner,0.023041521113413076,132254,118408,97056,97056,5639,97056,5639,97056
Q9_L,Q9_R,n_nationkey,s_nationkey,inner,25812.67088852574,25,25,2581198,2581198,25,2581198,25,2581198
Q11_L,Q11_R,s_suppkey,ps_suppkey,inner,80.0888,444,10000,284160,284160,444,284160,444,284160
Q14_L,Q14_R,p_partkey,l_partkey,inner,1.1874425,200000,62683,149954,149954,62683,149954,62683,149954
Q2_L,Q2_R,ps_suppkey,s_suppkey,inner,1.4953638849976651,2736,2104,21696,21696,582,21696,582,21696
Q10_L,Q10_R,c_nationkey,n_nationkey,inner,26836.32,25,25,2683532,2683532,25,2683532,25,2683532
MIMIC_Q1_L,MIMIC_Q1_R,subject_id,subject_id,inner,0.7894274958387877,4548,46520,6736,6736,4548,6736,4548,3393
