dbName; idRun; tableORqueryName; nbJoinFD; algoName; totalTime (s); maxMem (Mo); algo1Time (s); algo2Time (s); algo3Time (s); nbUpstagedFDs; nbInferFDs; nbMinedFDs
PTE; 1; "pte_atm|X|pte_drug"; 5; InFine; 0.031; 5; 0; 0; 0; 5; 0; 0
PTE; 2; "pte_atm|X|pte_drug"; 5; InFine; 0.015; 4; 0; 0; 0; 5; 0; 0
PTE; 3; "pte_atm|X|pte_drug"; 5; InFine; 0.031; 4; 0; 0; 0; 5; 0; 0
PTE; 4; "pte_atm|X|pte_drug"; 5; InFine; 0.031; 2; 0; 0; 0; 5; 0; 0
PTE; 5; "pte_atm|X|pte_drug"; 5; InFine; 0.015; 3; 0; 0; 0; 5; 0; 0
PTE; 6; "pte_atm|X|pte_drug"; 5; InFine; 0.031; 3; 0; 0; 0; 5; 0; 0
PTE; 7; "pte_atm|X|pte_drug"; 5; InFine; 0.015; 4; 0; 0; 0; 5; 0; 0
PTE; 8; "pte_atm|X|pte_drug"; 5; InFine; 0.031; 3; 0; 0; 0; 5; 0; 0
PTE; 9; "pte_atm|X|pte_drug"; 5; InFine; 0.031; 4; 0; 0; 0; 5; 0; 0
PTE; 10; "pte_atm|X|pte_drug"; 5; InFine; 0.015; 3; 0; 0; 0; 5; 0; 0
PTE; 1; "pte_active|X|pte_drug"; 1; InFine; 0; 0; 0; 0; 0; 1; 0; 0
PTE; 2; "pte_active|X|pte_drug"; 1; InFine; 0; 0; 0; 0; 0; 1; 0; 0
PTE; 3; "pte_active|X|pte_drug"; 1; InFine; 0; 0; 0; 0; 0; 1; 0; 0
PTE; 4; "pte_active|X|pte_drug"; 1; InFine; 0; 0; 0; 0; 0; 1; 0; 0
PTE; 5; "pte_active|X|pte_drug"; 1; InFine; 0; 0; 0; 0; 0; 1; 0; 0
PTE; 6; "pte_active|X|pte_drug"; 1; InFine; 0; 0; 0; 0; 0; 1; 0; 0
PTE; 7; "pte_active|X|pte_drug"; 1; InFine; 0.015; 0; 0; 0; 0; 1; 0; 0
PTE; 8; "pte_active|X|pte_drug"; 1; InFine; 0; 0; 0; 0; 0; 1; 0; 0
PTE; 9; "pte_active|X|pte_drug"; 1; InFine; 0; 0; 0; 0; 0; 1; 0; 0
PTE; 10; "pte_active|X|pte_drug"; 1; InFine; 0; 0; 0; 0; 0; 1; 0; 0
PTE; 1; "[pte_bond|X|pte_drug]|X|pte_active"; 6; InFine; 0.015; 3; 0; 0; 0; 4; 2; 0
PTE; 2; "[pte_bond|X|pte_drug]|X|pte_active"; 6; InFine; 0.015; 4; 0; 0; 0; 4; 2; 0
PTE; 3; "[pte_bond|X|pte_drug]|X|pte_active"; 6; InFine; 0.046; 3; 0.015; 0; 0; 4; 2; 0
PTE; 4; "[pte_bond|X|pte_drug]|X|pte_active"; 6; InFine; 0.015; 3; 0; 0; 0; 4; 2; 0
PTE; 5; "[pte_bond|X|pte_drug]|X|pte_active"; 6; InFine; 0.031; 2; 0; 0; 0; 4; 2; 0
PTE; 6; "[pte_bond|X|pte_drug]|X|pte_active"; 6; InFine; 0.031; 3; 0.015; 0; 0; 4; 2; 0
PTE; 7; "[pte_bond|X|pte_drug]|X|pte_active"; 6; InFine; 0.015; 3; 0; 0; 0; 4; 2; 0
PTE; 8; "[pte_bond|X|pte_drug]|X|pte_active"; 6; InFine; 0.031; 1; 0; 0; 0; 4; 2; 0
